"","NL","UK","GE","IT"
"Core","elit*","elit*","elit*","elit*"
"","consensus*","consensus*","konsens*","consens*"
"","ondemocratisch*","undemocratic*","undemokratisch*","antidemocratic*"
"","ondemokratisch*","","",""
"","referend*","referend*","referend*","referend*"
"","corrupt*","corrupt*","korrupt*","corrot*"
"","propagand*","propagand*","propagand*","propagand*"
"","politici*","politici*","politiker*","politici*"
"","*bedrog*","*deceit*","täusch*","ingann*"
"","*bedrieg*","*deceiv*","betrüg*",""
"","","","betrug*",""
"","*verraa*","*betray*","*verrat*","tradi*"
"","*verrad*","","",""
"","schaam*","shame*","scham*","vergogn*"
"","","","schäm*",""
"","schand*","scandal*","skandal*","scandal*"
"","waarheid*","truth*","wahrheit*","verità"
"","oneerlijk*","dishonest*","unfair*","disonest*"
"","","","unehrlich*",""
"Context","establishm*","establishm*","establishm*","partitocrazia"
"","heersend*","ruling*","*herrsch*",""
"","capitul*","","",""
"","kapitul*","","",""
"","kaste*","","",""
"","leugen*","","lüge*","menzogn*"
"","lieg*","","","mentir*"
