rank,politics_word,world_news_word,opinion_word
1,scotland,security,parties
2,country,opposition,country
3,support,morning,politicians
4,independence,australian,against
5,independent,support,problem
6,against,australia,democracy
7,stories,country,support
8,important,parties,international
9,without,september,without
10,believe,package,culture
11,international,leadership,security
12,morning,against,problems
13,england,treasurer,certainly
14,published,independent,democratic
15,housing,agreement,believe
