section_name,period,n_articles,mean_happiness,median_happiness,sd_happiness,mean_labmt_tokens,mean_coverage
Art and design,2020-2023,1,6.171505791505791,6.171505791505791,,259.0,0.21074043938161108
Australia news,2010-2013,4,5.90164189027079,5.869655676668943,0.14588966680749654,686.0,0.1942007263376998
Australia news,2020-2023,17,5.909042179910702,5.904626865671642,0.2255976315417822,398.8235294117647,0.19525145323502552
Books,2010-2013,1,5.935106382978724,5.935106382978724,,282.0,0.203757225433526
Books,2020-2023,19,5.856491778615926,5.834410256410257,0.27658092903225145,182.05263157894737,0.19200220150057273
Business,2020-2023,2,5.786753660637382,5.786753660637382,0.5814853940427279,110.5,0.19708635506852817
Culture,2020-2023,2,5.882340301652435,5.882340301652435,0.20274720525110682,134.5,0.2097531225604996
Education,2010-2013,1,6.318392857142857,6.318392857142857,,168.0,0.22672064777327935
Environment,2020-2023,2,5.776233797740348,5.776233797740348,0.25157895684174514,177.5,0.1886518959435626
Fashion,2020-2023,1,5.9991549295774655,5.9991549295774655,,284.0,0.20084865629420084
Film,2020-2023,4,6.139090046544934,6.145408163265306,0.24493157169908664,61.5,0.18680795821406823
Football,2020-2023,1,6.050259067357513,6.050259067357513,,386.0,0.22454915648632925
Global,2010-2013,1,5.642138364779874,5.642138364779874,,159.0,0.20838794233289645
Global,2020-2023,1,6.230689655172413,6.230689655172413,,58.0,0.2188679245283019
Global development,2020-2023,2,6.150095945403453,6.150095945403453,0.19695152193352533,250.0,0.24243600602296256
Inequality,2020-2023,1,6.052941176470588,6.052941176470588,,85.0,0.19767441860465115
Law,2020-2023,1,5.9410606060606055,5.9410606060606055,,66.0,0.19298245614035087
Life and style,2020-2023,2,6.005453101943928,6.005453101943928,0.054938799047555706,197.5,0.19679397280738856
Media,2010-2013,1,6.085776173285199,6.085776173285199,,277.0,0.20307917888563048
Media,2020-2023,1,5.6819863013698635,5.6819863013698635,,146.0,0.14717741935483872
Music,2020-2023,1,6.279850746268656,6.279850746268656,,67.0,0.1830601092896175
Opinion,2010-2013,25,5.749408055070663,5.799059829059829,0.25431731946887204,138.32,0.1911368324021677
Opinion,2020-2023,31,5.866423467898423,5.858317757009346,0.24035424966789612,178.51612903225808,0.18963500587069995
Politics,2010-2013,79,6.060927313830744,6.0897768595041315,0.2747070761830244,656.4303797468355,0.1976037957502341
Politics,2020-2023,26,5.933328758084643,5.955830915872358,0.2070632233745128,317.61538461538464,0.18901585503664997
Science,2010-2013,3,5.924078354006383,6.235901639344261,0.5511632911554698,165.33333333333334,0.2054021248333878
Society,2020-2023,1,6.2418,6.2418,,150.0,0.25597269624573377
Sport,2020-2023,1,5.88822695035461,5.88822695035461,,141.0,0.148109243697479
Stage,2010-2013,1,6.170403225806452,6.170403225806452,,124.0,0.2
Stage,2020-2023,3,5.915393915127775,5.972114695340503,0.17062112275344618,359.0,0.1930435689893307
UK news,2010-2013,1,5.958394160583941,5.958394160583941,,137.0,0.17723156532988357
UK news,2020-2023,2,5.617559618441971,5.617559618441971,0.012602014335613669,132.0,0.19081716456215994
US news,2020-2023,9,5.7059182081362145,5.779090909090909,0.40310128957380914,201.77777777777777,0.1772931288049166
Working in development,2010-2013,1,5.540596026490066,5.540596026490066,,151.0,0.19433719433719435
World news,2010-2013,18,5.89663440808175,5.918995559256175,0.22489157086695352,643.2777777777778,0.19419653867761563
World news,2020-2023,18,5.84525886424828,5.849963601532567,0.31862273247216666,165.72222222222223,0.20057906392891273
